Name	PreferenceLi	LastWeightedHT	LastWeightedBR	lastWeigthedTotal	price2	NHousesLeft	Found
0	[0.7514579861664492, 0.00897821437213088, 0.7054221077279967, 0.24480979177950404, 0.029218004951304825]	0.751457986166	0.75519020822	578.477574235	337.781135353	10176	True	545.0	False
1	[0.9708242905562797, 0.9809680174327726, 0.9318490029947848, 0.28009526768380416, 0.0022914097509752645]	0.970824290556	0.0681509970052	190382.291673	33023.4653367	10175	True	63569.2989662	True
2	[0.898063837976471, 0.18252256361670327, 0.8217373948344899, 0.38695785507621594, 0.015109779507418545]	0.898063837976	0.613042144924	580.189142135	250.540205566	10174	True	545.0	False
3	[0.7973488889338394, 0.5911759932739267, 0.7381143692741282, 0.13255001615904977, 0.0050264609243810595]	0.797348888934	0.261885630726	194094.602332	35385.2227974	10173	True	66812.8202784	True
4	[0.7514579861664492, 0.00897821437213088, 0.7054221077279967, 0.24480979177950404, 0.029218004951304825]	0.751457986166	0.294577892272	191676.077471	40285.6732706	10172	True	77025.413948	True
5	[0.8699563076152408, 0.2964083668591071, 0.8365910901370709, 0.12525898344082212, 0.00627125863293574]	0.869956307615	0.874741016559	669.876537617	227.165626206	10171	True	545.0	False
6	[0.7514579861664492, 0.00897821437213088, 0.7054221077279967, 0.24480979177950404, 0.029218004951304825]	0.751457986166	0.294577892272	191676.077471	43312.4519361	10170	True	82812.5551502	True
7	[0.8699563076152408, 0.2964083668591071, 0.8365910901370709, 0.12525898344082212, 0.00627125863293574]	0.869956307615	0.163408909863	189354.299947	43822.6241549	10169	True	84815.3652042	True
8	[0.9194811333376521, 0.6765218113683915, 0.8765908184069651, 0.16653873547185755, 0.004485441579477631]	0.919481133338	0.833461264528	673.042233661	110.089197568	10168	True	545.0	False
9	[0.7967051059066316, 0.07822203430276103, 0.7867800720938193, 0.09306863862907694, 0.008761816548685616]	0.796705105907	0.906931361371	654.111221611	306.582354293	10167	True	545.0	False
10	[0.7884127826677381, 0.6562113865673114, 0.6905559719097722, 0.1646989137988365, 0.006252918589183635]	0.788412782668	0.835301086201	623.424939952	151.339913883	10166	True	545.0	False
11	[0.8699563076152408, 0.2964083668591071, 0.8365910901370709, 0.12525898344082212, 0.00627125863293574]	0.869956307615	0.163408909863	189354.299947	48272.3132005	10165	True	93427.4008532	True
12	[0.4416594428202431, 0.011680906835300502, 0.5134531521228289, 0.05324416040429585, 0.013691510582632745]	0.44165944282	0.946755839596	533.082047684	356.384805313	10164	True	767.9	False
13	[0.8636744937363253, 0.35736184063660614, 0.8021217719436664, 0.15595743609708806, 0.007799066450930594]	0.863674493736	0.844042563903	655.677964281	212.267598883	10163	True	545.0	False
14	[0.7967051059066316, 0.07822203430276103, 0.7867800720938193, 0.09306863862907694, 0.008761816548685616]	0.796705105907	0.906931361371	654.111221611	306.582354293	10162	True	545.0	False
15	[0.9194811333376521, 0.6765218113683915, 0.8765908184069651, 0.16653873547185755, 0.004485441579477631]	0.919481133338	0.833461264528	673.042233661	110.089197568	10161	True	545.0	False
16	[0.898063837976471, 0.18252256361670327, 0.8217373948344899, 0.38695785507621594, 0.015109779507418545]	0.898063837976	0.613042144924	580.189142135	250.540205566	10160	True	545.0	False
17	[0.7973488889338394, 0.5911759932739267, 0.7381143692741282, 0.13255001615904977, 0.0050264609243810595]	0.797348888934	0.261885630726	194094.602332	48296.9344802	10159	True	58021.344524	True
18	[0.7967051059066316, 0.07822203430276103, 0.7867800720938193, 0.09306863862907694, 0.008761816548685616]	0.796705105907	0.906931361371	654.111221611	306.582354293	10158	True	545.0	False
19	[0.915358879502556, 0.7340873196283225, 0.8490364498327421, 0.20498328505895827, 0.005580630809357796]	0.915358879503	0.150963550167	195393.3941	49718.7762726	10157	True	58137.8457856	True
20	[0.2633557879781709, 0.0002541007710874388, 0.33048303012288766, 0.11293590447206148, 0.06209269342710014]	0.263355787978	0.669516969877	170940.017155	33478.9318902	10156	True	58202.9785301	True
21	[0.898063837976471, 0.18252256361670327, 0.8217373948344899, 0.38695785507621594, 0.015109779507418545]	0.898063837976	0.178262605166	197226.533958	46325.2757782	10155	True	61313.0730768	True
22	[0.25293472739859413, 0.00033538415881581097, 0.2810069478477059, 0.14110138666021965, 0.0761772614393753]	0.252934727399	0.718993052152	178096.476622	34159.6947634	10154	True	61447.5092836	True
23	[0.7973488889338394, 0.5911759932739267, 0.7381143692741282, 0.13255001615904977, 0.0050264609243810595]	0.797348888934	0.867449983841	639.199527202	166.626969598	10153	True	545.0	False
24	[0.8699563076152408, 0.2964083668591071, 0.8365910901370709, 0.12525898344082212, 0.00627125863293574]	0.869956307615	0.163408909863	189354.299947	49876.8536081	10152	True	96532.8671113	True
25	[0.9708242905562797, 0.9809680174327726, 0.9318490029947848, 0.28009526768380416, 0.0022914097509752645]	0.970824290556	0.0681509970052	190382.291673	51109.546868	10151	True	98384.5284481	True
26	[0.7514579861664492, 0.00897821437213088, 0.7054221077279967, 0.24480979177950404, 0.029218004951304825]	0.751457986166	0.294577892272	191676.077471	46392.6983793	10150	True	61583.9829791	True
27	[0.8699563076152408, 0.2964083668591071, 0.8365910901370709, 0.12525898344082212, 0.00627125863293574]	0.869956307615	0.874741016559	669.876537617	227.165626206	10149	True	545.0	False
28	[0.9194811333376521, 0.6765218113683915, 0.8765908184069651, 0.16653873547185755, 0.004485441579477631]	0.919481133338	0.123409181593	191099.683022	51970.8293846	10148	True	99666.9134627	True
