NTest	timeS	timeE	runTime	runCount	year	startingP
0	2.67729971121e-06	0.38949177712	0.38948909982	100	100	2
1	0.389521673634	0.695792712747	0.306271039114	100	100	2
2	0.695807884112	0.985553736975	0.289745852863	100	100	2
3	0.985575601589	1.28991452274	0.304338921155	100	100	2
4	1.28993014033	1.60661409045	0.316683950124	100	100	2
5	1.60663104668	1.90122459689	0.294593550207	100	100	2
6	1.90124556907	2.19872837188	0.297482802812	100	100	2
7	2.19874309703	2.51607495368	0.317331856654	100	100	2
8	2.51610529641	2.82104080919	0.304935512774	100	100	2
9	2.82105598055	3.12944520995	0.308389229402	100	100	2
10	3.12946841322	3.53030390921	0.400835495997	100	100	2
11	3.53032443518	3.84495846616	0.314634030978	100	100	2
12	3.84497319131	4.15559975083	0.310626559527	100	100	2
13	4.15562116923	4.4721426965	0.316521527275	100	100	2
14	4.47215786787	4.77847397486	0.306316106992	100	100	2
15	4.77848780758	5.08280664898	0.304318841407	100	100	2
16	5.08282717495	5.4182615936	0.335434418651	100	100	2
17	5.41827676497	5.7230043408	0.30472757583	100	100	2
18	5.72302486676	6.02708267145	0.304057804686	100	100	2
19	6.02710141254	6.32480241528	0.297701002738	100	100	2
20	6.32482204881	6.63537052043	0.310548471619	100	100	2
21	6.63539283126	6.95051814674	0.315125315475	100	100	2
22	6.95053242567	7.25826482421	0.307732398539	100	100	2
23	7.25828490396	7.56262962593	0.304344721971	100	100	2
24	7.56264390486	7.86559598476	0.302952079905	100	100	2
25	7.86561740316	8.16072499491	0.295107591751	100	100	2
26	8.16074507466	8.4687487729	0.308003698243	100	100	2
27	8.46876394427	8.78230295967	0.313539015396	100	100	2
28	8.78232393185	9.0755118997	0.293187967858	100	100	2
29	9.07552707107	9.48437394024	0.408846869166	100	100	2
30	9.48439625107	9.80982158475	0.325425333681	100	100	2
31	9.80984478801	10.1285268962	0.318682108141	100	100	2
32	10.128549207	10.4283956192	0.29984641224	100	100	2
33	10.4284214998	10.7286610289	0.300239529081	100	100	2
34	10.7286793237	11.0289902475	0.30031092374	100	100	2
35	11.0290121121	11.4550584008	0.426046288727	100	100	2
36	11.4550771419	11.7687428828	0.313665740916	100	100	2
37	11.7687589466	12.0765337358	0.307774789118	100	100	2
38	12.0765578315	12.3966258884	0.320068056959	100	100	2
39	12.3966410598	12.7048732209	0.308232161152	100	100	2
40	12.7048955318	13.0115239904	0.306628458625	100	100	2
41	13.0115467474	13.4216037561	0.410057008635	100	100	2
42	13.4216274056	13.7284258727	0.306798467157	100	100	2
43	13.7284472911	14.0329218621	0.304474571007	100	100	2
44	14.0329477427	14.3442360415	0.311288298772	100	100	2
45	14.3442601371	14.655954493	0.311694355895	100	100	2
46	14.6559785887	14.9585897592	0.302611170408	100	100	2
47	14.9586062692	15.2665394652	0.307933196018	100	100	2
48	15.2665608836	15.5710635662	0.304502682654	100	100	2
49	15.5710787376	15.8794590427	0.308380305069	100	100	2
50	15.8794813535	16.1949002795	0.31541892601	100	100	2
51	16.1949288374	16.4997764455	0.3048476081	100	100	2
52	16.4997938479	16.7964971103	0.296703262379	100	100	2
53	16.7965176363	17.1022657095	0.305748073237	100	100	2
54	17.1022804347	17.4928841836	0.390603748934	100	100	2
55	17.4929091717	17.811869719	0.318960547311	100	100	2
56	17.8118906912	18.104157668	0.292266976757	100	100	2
57	18.1041723931	18.411091785	0.30691939186	100	100	2
58	18.4111136496	18.7070784235	0.295964773875	100	100	2
59	18.7070935948	19.0097632196	0.302669624785	100	100	2
60	19.0097868691	19.4327796975	0.422992828407	100	100	2
61	19.4328046856	19.7443642841	0.311559598476	100	100	2
62	19.7443799017	20.0483863915	0.304006489774	100	100	2
63	20.0484095947	20.3458816883	0.297472093613	100	100	2
64	20.3458999832	20.6495062167	0.303606233468	100	100	2
65	20.6495298662	20.9608021011	0.311272234974	100	100	2
66	20.9608239658	21.2835862787	0.322762312901	100	100	2
67	21.2836023425	21.5977379495	0.314135607015	100	100	2
68	21.5977593679	21.8989328283	0.301173460463	100	100	2
69	21.8989618324	22.2818496036	0.382887771166	100	100	2
70	22.2818736993	22.6132792281	0.331405528802	100	100	2
71	22.6133060011	22.9429967194	0.329690718337	100	100	2
72	22.9430136756	23.2706406421	0.327626966477	100	100	2
73	23.270745503	23.6799984293	0.409252926289	100	100	2
74	23.680016278	24.0607791656	0.380762887628	100	100	2
75	24.0608010302	24.363260487	0.302459456758	100	100	2
76	24.3632756583	24.6840683711	0.320792712747	100	100	2
77	24.6840888971	24.9828260148	0.298737117726	100	100	2
78	24.9828460945	25.319435768	0.336589673477	100	100	2
79	25.3194513856	25.6316133765	0.312161990911	100	100	2
80	25.63163301	25.9468814813	0.315248471262	100	100	2
81	25.9469033459	26.2529347667	0.306031420789	100	100	2
82	26.2529566313	26.5553491556	0.302392524265	100	100	2
83	26.5553643269	26.8971488543	0.34178452735	100	100	2
84	26.8971774122	27.2151201394	0.317942727205	100	100	2
85	27.2151406653	27.6516311002	0.436490434901	100	100	2
86	27.6516467178	27.9652928252	0.313646107385	100	100	2
87	27.9653173671	28.2795395401	0.314222173039	100	100	2
88	28.2795551577	28.5834581252	0.303902967519	100	100	2
89	28.5834871293	28.9307708303	0.347283700956	100	100	2
90	28.9307944798	29.2465944748	0.315799995002	100	100	2
91	29.2466132159	29.5992086794	0.352595463583	100	100	2
92	29.5992309903	29.920361489	0.321130498727	100	100	2
93	29.9203860309	30.2332307333	0.312844702338	100	100	2
94	30.2332467971	30.5592691686	0.326022371516	100	100	2
